,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
454,data research analyst,Morningstar India (P) Ltd.,0-3 ,,Mumbai,"manager quality assurance,cash flow statement,data collection,data research analyst,data quality,market data,continuous improvement,operations","data research analyst,Mumbai",data research analyst mumbai,Analyst
455,data entry analyst,Digi Verve Technologies Private Limited,0-2 ,,Bengaluru,"analyst,data entry","data entry analyst,Bengaluru",data entry analyst bengaluru,Analyst
456,data analyst,Increasingly Technologies,0-4 ,,Bengaluru,"retail,automation,manager technology,manual,application development,http,data analyst,research","data analyst,Bengaluru",data analyst bengaluru,Analyst
457,avp - data scientist - leading general insurance - mumbai.,Right Match HR Services Pvt Ltd,8-12 ,2750000 - 3000000 ,Mumbai,"google analytics,sas,statistical modelling,sql,large data,data science,r,data scientist","avp - data scientist - leading general insurance - mumbai.,Mumbai",avp data scientist leading general insurance mumbai mumbai,Lead
458,data analyst,Shaadi.com,0-5 ,,Mumbai,"customer segmentation,google analytics,excel,machine learning,programming,data analytics,data analyst,data warehousing","data analyst,Mumbai",data analyst mumbai,Analyst
459,trainee business analyst big data analysis,ALLERIN TECHNOLOGIES Pvt Ltd.,0-1 ,,Mumbai,"copyright,data analysis,change management,coding,data modeling,uml,functional testing,big data","trainee business analyst big data analysis,Mumbai",trainee business analyst big data analysis mumbai,Analyst
460,data analyst - bond & bank loan ratings,SMERA Ratings Limited.,0-3 ,,Mumbai,"health insurance,rating analyst,financial statements,due diligence,vlookup,finance,data analyst,credit rating","data analyst - bond & bank loan ratings,Mumbai",data analyst bond bank loan rating mumbai,Analyst
461,data analyst /data engineer,Inflexion Analytix Private Limited,0-2 ,350000 - 450000 ,Chennai,"python,machine learning,artificial intelligence,tableau,power bi,business intelligence,power bi","data analyst /data engineer,Chennai",data analyst data engineer chennai,Engineer
462,senior data analyst - pan india,Cognizant Technology Solutions India Ltd,10-12 ,,Chennai,"excel,risk assessment,technical support,data analysis,predictive analytics,professional services,interpersonal skills","senior data analyst - pan india,Chennai",senior data analyst pan india chennai,Lead
463,business analyst /sr business analyst( data)- concentrix,Concentrix Daksh Services India Private Limited.,7-12 ,800000 - 1700000 ,"Delhi NCR, India","oftware development,testing,project management,sharepoint,power bi,bpo,project management","business analyst /sr business analyst( data)- concentrix,Delhi NCR, India",business analyst sr business analyst data concentrix delhi ncr india,Analyst
464,"internship in data science, ai and machine learning - online",www.iibmindia.in,0-5 ,150000 - 300000 ,"Chennai, India","data science,fresher,any graduate,online,internship,work from home","internship in data science, ai and machine learning - online,Chennai, India",internship data science ai machine learning online chennai india,Generic
465,senior data analyst,Smart Minds,7-12 ,,Hyderabad,"python,consumer electronics,r,mysql,data analysis,teradata,python","senior data analyst,Hyderabad",senior data analyst hyderabad,Lead
466,data analyst-internship,Perkin Elmer India Pvt Ltd,0-0 ,,Hyderabad,"ap,business analytics,data analyst,internship,inventory,lotus notes","data analyst-internship,Hyderabad",data analyst internship hyderabad,Analyst
467,junior data analyst,Weatherbug,0-1 ,,Delhi NCR,"computer science,career development,linux,manager technology,spanish,data analyst,analytics,sql","junior data analyst,Delhi NCR",junior data analyst delhi ncr,Analyst
468,reactjs developer,Encora Innovation Labs India Private Limited,6-11 ,,Bengaluru(M.G Road),"redux,javascript,react.js,it skills,java,software development,javascript,big data","reactjs developer,Bengaluru(M.G Road)",reactjs developer bengaluru g road,Developer
469,junior data analyst,Cognizant Technology Solutions India Ltd,1-3 ,,Mumbai,"eadership,innovative,data analysis,case processing,data analyst","junior data analyst,Mumbai",junior data analyst mumbai,Analyst
470,senior solution deployment strategist(data analyst),Pentagon Consultancy Services,2-4 ,,Mumbai,"bpo,logistic regression,sas macros,payroll,statistical modeling,staffing,risk analytics,analytical","senior solution deployment strategist(data analyst),Mumbai",senior solution deployment strategist data analyst mumbai,Lead
